combination,synergy_score
"('Calcium', 'Phosphorus', 'Sodium')",-1.1111111111111112
"('Calcium', 'Phosphorus', 'Iron')",-1.1111111111111112
"('Calcium', 'Phosphorus', 'Zinc')",-1.1111111111111112
"('Calcium', 'Phosphorus', 'Caffeine')",-1.1111111111111112
"('Calcium', 'Vitamin K', 'Sodium')",-0.22222222222222232
"('Calcium', 'Vitamin K', 'Iron')",-0.22222222222222232
"('Calcium', 'Vitamin K', 'Zinc')",-0.22222222222222232
"('Calcium', 'Vitamin K', 'Caffeine')",-0.22222222222222232
"('Calcium', 'Sodium', 'Iron')",-4.0
"('Calcium', 'Sodium', 'Zinc')",-4.0
"('Calcium', 'Sodium', 'Caffeine')",-4.0
"('Calcium', 'Iron', 'Zinc')",-4.0
"('Calcium', 'Iron', 'Caffeine')",-4.0
"('Calcium', 'Zinc', 'Caffeine')",-4.0
"('Magnesium', 'Phosphorus', 'Vitamin K')",0.0
"('Magnesium', 'Phosphorus', 'Sodium')",0.0
"('Magnesium', 'Phosphorus', 'Iron')",0.0
"('Magnesium', 'Phosphorus', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Sodium')",0.0
"('Magnesium', 'Vitamin K', 'Iron')",0.0
"('Magnesium', 'Vitamin K', 'Zinc')",0.0
"('Magnesium', 'Vitamin K', 'Caffeine')",0.0
"('Magnesium', 'Sodium', 'Iron')",0.0
"('Magnesium', 'Sodium', 'Zinc')",0.0
"('Magnesium', 'Sodium', 'Caffeine')",0.0
"('Magnesium', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Zinc', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium')",0.0
"('Phosphorus', 'Vitamin K', 'Iron')",0.0
"('Phosphorus', 'Vitamin K', 'Zinc')",0.0
"('Phosphorus', 'Vitamin K', 'Caffeine')",0.0
"('Phosphorus', 'Sodium', 'Iron')",0.0
"('Phosphorus', 'Sodium', 'Zinc')",0.0
"('Phosphorus', 'Sodium', 'Caffeine')",0.0
"('Phosphorus', 'Iron', 'Zinc')",0.0
"('Phosphorus', 'Iron', 'Caffeine')",0.0
"('Phosphorus', 'Zinc', 'Caffeine')",0.0
"('Vitamin K', 'Sodium', 'Iron')",0.0
"('Vitamin K', 'Sodium', 'Zinc')",0.0
"('Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Vitamin K', 'Iron', 'Zinc')",0.0
"('Vitamin K', 'Iron', 'Caffeine')",0.0
"('Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Sodium', 'Iron', 'Zinc')",0.0
"('Sodium', 'Iron', 'Caffeine')",0.0
"('Sodium', 'Zinc', 'Caffeine')",0.0
"('Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus')",3.7777777777777786
"('Vitamin D', 'Calcium', 'Magnesium', 'Vitamin K')",4.666666666666666
"('Vitamin D', 'Calcium', 'Magnesium', 'Sodium')",0.8888888888888891
"('Vitamin D', 'Calcium', 'Magnesium', 'Iron')",0.8888888888888891
"('Vitamin D', 'Calcium', 'Magnesium', 'Zinc')",0.8888888888888891
"('Vitamin D', 'Calcium', 'Magnesium', 'Caffeine')",0.8888888888888891
"('Vitamin D', 'Calcium', 'Phosphorus', 'Vitamin K')",4.222222222222221
"('Vitamin D', 'Calcium', 'Phosphorus', 'Sodium')",0.4444444444444442
"('Vitamin D', 'Calcium', 'Phosphorus', 'Iron')",0.4444444444444442
"('Vitamin D', 'Calcium', 'Phosphorus', 'Zinc')",0.4444444444444442
"('Vitamin D', 'Calcium', 'Phosphorus', 'Caffeine')",0.4444444444444442
"('Vitamin D', 'Calcium', 'Vitamin K', 'Sodium')",1.333333333333333
"('Vitamin D', 'Calcium', 'Vitamin K', 'Iron')",1.333333333333333
"('Vitamin D', 'Calcium', 'Vitamin K', 'Zinc')",1.333333333333333
"('Vitamin D', 'Calcium', 'Vitamin K', 'Caffeine')",1.333333333333333
"('Vitamin D', 'Calcium', 'Sodium', 'Iron')",-2.4444444444444446
"('Vitamin D', 'Calcium', 'Sodium', 'Zinc')",-2.4444444444444446
"('Vitamin D', 'Calcium', 'Sodium', 'Caffeine')",-2.4444444444444446
"('Vitamin D', 'Calcium', 'Iron', 'Zinc')",-2.4444444444444446
"('Vitamin D', 'Calcium', 'Iron', 'Caffeine')",-2.4444444444444446
"('Vitamin D', 'Calcium', 'Zinc', 'Caffeine')",-2.4444444444444446
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Vitamin K')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Sodium')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Sodium')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Sodium')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Iron')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Sodium', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K')",4.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Sodium')",0.22222222222222232
"('Calcium', 'Magnesium', 'Phosphorus', 'Iron')",0.22222222222222232
"('Calcium', 'Magnesium', 'Phosphorus', 'Zinc')",0.22222222222222232
"('Calcium', 'Magnesium', 'Phosphorus', 'Caffeine')",0.22222222222222232
"('Calcium', 'Magnesium', 'Vitamin K', 'Sodium')",1.1111111111111112
"('Calcium', 'Magnesium', 'Vitamin K', 'Iron')",1.1111111111111112
"('Calcium', 'Magnesium', 'Vitamin K', 'Zinc')",1.1111111111111112
"('Calcium', 'Magnesium', 'Vitamin K', 'Caffeine')",1.1111111111111112
"('Calcium', 'Magnesium', 'Sodium', 'Iron')",-2.6666666666666665
"('Calcium', 'Magnesium', 'Sodium', 'Zinc')",-2.6666666666666665
"('Calcium', 'Magnesium', 'Sodium', 'Caffeine')",-2.6666666666666665
"('Calcium', 'Magnesium', 'Iron', 'Zinc')",-2.6666666666666665
"('Calcium', 'Magnesium', 'Iron', 'Caffeine')",-2.6666666666666665
"('Calcium', 'Magnesium', 'Zinc', 'Caffeine')",-2.6666666666666665
"('Calcium', 'Phosphorus', 'Vitamin K', 'Sodium')",0.6666666666666665
"('Calcium', 'Phosphorus', 'Vitamin K', 'Iron')",0.6666666666666665
"('Calcium', 'Phosphorus', 'Vitamin K', 'Zinc')",0.6666666666666665
"('Calcium', 'Phosphorus', 'Vitamin K', 'Caffeine')",0.6666666666666665
"('Calcium', 'Phosphorus', 'Sodium', 'Iron')",-3.111111111111111
"('Calcium', 'Phosphorus', 'Sodium', 'Zinc')",-3.111111111111111
"('Calcium', 'Phosphorus', 'Sodium', 'Caffeine')",-3.111111111111111
"('Calcium', 'Phosphorus', 'Iron', 'Zinc')",-3.111111111111111
"('Calcium', 'Phosphorus', 'Iron', 'Caffeine')",-3.111111111111111
"('Calcium', 'Phosphorus', 'Zinc', 'Caffeine')",-3.111111111111111
"('Calcium', 'Vitamin K', 'Sodium', 'Iron')",-2.2222222222222223
"('Calcium', 'Vitamin K', 'Sodium', 'Zinc')",-2.2222222222222223
"('Calcium', 'Vitamin K', 'Sodium', 'Caffeine')",-2.2222222222222223
"('Calcium', 'Vitamin K', 'Iron', 'Zinc')",-2.2222222222222223
"('Calcium', 'Vitamin K', 'Iron', 'Caffeine')",-2.2222222222222223
"('Calcium', 'Vitamin K', 'Zinc', 'Caffeine')",-2.2222222222222223
"('Calcium', 'Sodium', 'Iron', 'Zinc')",-6.0
"('Calcium', 'Sodium', 'Iron', 'Caffeine')",-6.0
"('Calcium', 'Sodium', 'Zinc', 'Caffeine')",-6.0
"('Calcium', 'Iron', 'Zinc', 'Caffeine')",-6.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Iron')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Iron')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Sodium', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Phosphorus', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Phosphorus', 'Sodium', 'Iron', 'Zinc')",0.0
"('Phosphorus', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Phosphorus', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Phosphorus', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin K', 'Sodium', 'Iron', 'Zinc')",0.0
"('Vitamin K', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Vitamin K', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Vitamin K', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Sodium', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K')",5.555555555555555
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus', 'Sodium')",1.7777777777777786
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus', 'Iron')",1.7777777777777786
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus', 'Zinc')",1.7777777777777786
"('Vitamin D', 'Calcium', 'Magnesium', 'Phosphorus', 'Caffeine')",1.7777777777777786
"('Vitamin D', 'Calcium', 'Magnesium', 'Vitamin K', 'Sodium')",2.6666666666666665
"('Vitamin D', 'Calcium', 'Magnesium', 'Vitamin K', 'Iron')",2.6666666666666665
"('Vitamin D', 'Calcium', 'Magnesium', 'Vitamin K', 'Zinc')",2.6666666666666665
"('Vitamin D', 'Calcium', 'Magnesium', 'Vitamin K', 'Caffeine')",2.6666666666666665
"('Vitamin D', 'Calcium', 'Magnesium', 'Sodium', 'Iron')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Magnesium', 'Sodium', 'Zinc')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Magnesium', 'Sodium', 'Caffeine')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Magnesium', 'Iron', 'Zinc')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Magnesium', 'Iron', 'Caffeine')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Magnesium', 'Zinc', 'Caffeine')",-1.111111111111111
"('Vitamin D', 'Calcium', 'Phosphorus', 'Vitamin K', 'Sodium')",2.222222222222222
"('Vitamin D', 'Calcium', 'Phosphorus', 'Vitamin K', 'Iron')",2.222222222222222
"('Vitamin D', 'Calcium', 'Phosphorus', 'Vitamin K', 'Zinc')",2.222222222222222
"('Vitamin D', 'Calcium', 'Phosphorus', 'Vitamin K', 'Caffeine')",2.222222222222222
"('Vitamin D', 'Calcium', 'Phosphorus', 'Sodium', 'Iron')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Phosphorus', 'Sodium', 'Zinc')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Phosphorus', 'Sodium', 'Caffeine')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Phosphorus', 'Iron', 'Zinc')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Phosphorus', 'Iron', 'Caffeine')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Phosphorus', 'Zinc', 'Caffeine')",-1.5555555555555558
"('Vitamin D', 'Calcium', 'Vitamin K', 'Sodium', 'Iron')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Vitamin K', 'Sodium', 'Zinc')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Vitamin K', 'Sodium', 'Caffeine')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Vitamin K', 'Iron', 'Zinc')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Vitamin K', 'Iron', 'Caffeine')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Vitamin K', 'Zinc', 'Caffeine')",-0.666666666666667
"('Vitamin D', 'Calcium', 'Sodium', 'Iron', 'Zinc')",-4.444444444444445
"('Vitamin D', 'Calcium', 'Sodium', 'Iron', 'Caffeine')",-4.444444444444445
"('Vitamin D', 'Calcium', 'Sodium', 'Zinc', 'Caffeine')",-4.444444444444445
"('Vitamin D', 'Calcium', 'Iron', 'Zinc', 'Caffeine')",-4.444444444444445
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Phosphorus', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Magnesium', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Phosphorus', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Iron', 'Zinc')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Vitamin K', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Vitamin D', 'Sodium', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium')",2.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Iron')",2.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Zinc')",2.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Vitamin K', 'Caffeine')",2.0
"('Calcium', 'Magnesium', 'Phosphorus', 'Sodium', 'Iron')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Phosphorus', 'Sodium', 'Zinc')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Phosphorus', 'Sodium', 'Caffeine')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Phosphorus', 'Iron', 'Zinc')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Phosphorus', 'Iron', 'Caffeine')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Phosphorus', 'Zinc', 'Caffeine')",-1.7777777777777777
"('Calcium', 'Magnesium', 'Vitamin K', 'Sodium', 'Iron')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Vitamin K', 'Sodium', 'Zinc')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Vitamin K', 'Sodium', 'Caffeine')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Vitamin K', 'Iron', 'Zinc')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Vitamin K', 'Iron', 'Caffeine')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Vitamin K', 'Zinc', 'Caffeine')",-0.8888888888888888
"('Calcium', 'Magnesium', 'Sodium', 'Iron', 'Zinc')",-4.666666666666666
"('Calcium', 'Magnesium', 'Sodium', 'Iron', 'Caffeine')",-4.666666666666666
"('Calcium', 'Magnesium', 'Sodium', 'Zinc', 'Caffeine')",-4.666666666666666
"('Calcium', 'Magnesium', 'Iron', 'Zinc', 'Caffeine')",-4.666666666666666
"('Calcium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Iron')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Zinc')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Caffeine')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Vitamin K', 'Iron', 'Zinc')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Vitamin K', 'Iron', 'Caffeine')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Vitamin K', 'Zinc', 'Caffeine')",-1.3333333333333335
"('Calcium', 'Phosphorus', 'Sodium', 'Iron', 'Zinc')",-5.111111111111111
"('Calcium', 'Phosphorus', 'Sodium', 'Iron', 'Caffeine')",-5.111111111111111
"('Calcium', 'Phosphorus', 'Sodium', 'Zinc', 'Caffeine')",-5.111111111111111
"('Calcium', 'Phosphorus', 'Iron', 'Zinc', 'Caffeine')",-5.111111111111111
"('Calcium', 'Vitamin K', 'Sodium', 'Iron', 'Zinc')",-4.222222222222222
"('Calcium', 'Vitamin K', 'Sodium', 'Iron', 'Caffeine')",-4.222222222222222
"('Calcium', 'Vitamin K', 'Sodium', 'Zinc', 'Caffeine')",-4.222222222222222
"('Calcium', 'Vitamin K', 'Iron', 'Zinc', 'Caffeine')",-4.222222222222222
"('Calcium', 'Sodium', 'Iron', 'Zinc', 'Caffeine')",-8.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Iron')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Sodium', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Vitamin K', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Phosphorus', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Iron', 'Zinc')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Sodium', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Vitamin K', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Magnesium', 'Sodium', 'Iron', 'Zinc', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Iron', 'Zinc')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Iron', 'Caffeine')",0.0
"('Phosphorus', 'Vitamin K', 'Sodium', 'Zinc', 'Caffeine')",0.0
